Remote,Booth,Station,Line Name,Division,COMPLEX ID,Latitude,Longitude
R013,N069,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R013,N073,34 ST-PENN STA,ACE,IND,164,40.752287,-73.993391
R014,N095,FULTON ST,ACJZ2345,IND,628,40.710368,-74.009509
R014,R205,FULTON ST,ACJZ2345,IRT,628,40.710368,-74.009509
R014,R206,FULTON ST,2345ACJZ,IRT,628,40.710368,-74.009509
R014,R208,FULTON ST,2345ACJZ,IRT,628,40.710368,-74.009509
R014,R205A,FULTON ST,2345ACJZ,IRT,628,40.710368,-74.009509
R015,N303,5 AVE-53 ST,EM,IND,276,40.760167,-73.975224
R015,N304,5 AVE-53 ST,EM,IND,276,40.760167,-73.975224
R016,N305A,LEXINGTON-53 ST,EM6,IND,612,40.757107,-73.97192
R017,N306,LEXINGTON-53 ST,EM6,IND,612,40.757107,-73.97192
R017,N305,LEXINGTON-53 ST,EM6,IND,612,40.757107,-73.97192
R018,N324,ROOSEVELT AVE,EFMR7,IND,616,40.746848,-73.891394
R018,N323,ROOSEVELT AVE,EFMR7,IND,616,40.746848,-73.891394
R018,R525,74 ST-BROADWAY,EFMR7,IRT,616,40.746848,-73.891394
R019,N343,JAMAICA-179 ST,F,IND,254,40.712646,-73.783817
R019,N342,JAMAICA-179 ST,F,IND,254,40.712646,-73.783817
R020,N500,47-50 ST-ROCK,BDFM,IND,225,40.758663,-73.981329
R020,N501,47-50 ST-ROCK,BDFM,IND,225,40.758663,-73.981329
R020,N501A,47-50 ST-ROCK,BDFM,IND,225,40.758663,-73.981329
R021,N503,42 ST-BRYANT PK,BDFM7,IND,609,40.753821,-73.981963
R021,N502,42 ST-BRYANT PK,BDFM7,IND,609,40.753821,-73.981963
R021,N504,42 ST-BRYANT PK,BDFM7,IND,609,40.753821,-73.981963
R022,N506,34 ST-HERALD SQ,BDFMNQR,IND,607,40.749719,-73.987823
R022,A022,34 ST-HERALD SQ,BDFMNQR,BMT,607,40.749719,-73.987823
R022,N505,34 ST-HERALD SQ,BDFMNQR,IND,607,40.749719,-73.987823
R023,N507,34 ST-HERALD SQ,BDFMNQR,IND,607,40.749719,-73.987823
R023,A025,34 ST-HERALD SQ,BDFMNQR,BMT,607,40.749719,-73.987823
R024,N605,SUTPHIN BLVD,EJZ,IND,279,40.700486,-73.807969
R025,N606,JAMAICA CENTER,EJZ,IND,278,40.702147,-73.801109
R025,N607,JAMAICA CENTER,EJZ,IND,278,40.702147,-73.801109
R027,R111,WALL ST,23,IRT,333,40.706821,-74.0091
R027,R110,WALL ST,23,IRT,333,40.706821,-74.0091
R027,R112,WALL ST,23,IRT,333,40.706821,-74.0091
R027,R112A,WALL ST,23,IRT,333,40.706821,-74.0091
R028,R113A,FULTON ST,2345ACJZ,IRT,628,40.710368,-74.009509
R028,R113,FULTON ST,2345ACJZ,IRT,628,40.710368,-74.009509
R028,R114,FULTON ST,2345ACJZ,IRT,628,40.710368,-74.009509
R029,R115,PARK PLACE,23ACE,IRT,624,40.713051,-74.008811
R029,N094,WORLD TRADE CTR,23ACE,IND,624,40.713051,-74.008811
R029,N091,CHAMBERS ST,ACE23,IND,624,40.713051,-74.008811
R029,N092,CHAMBERS ST,ACE23,IND,624,40.713051,-74.008811
R030,R116,CHAMBERS ST,123,IRT,327,40.715478,-74.009266
R031,R141,34 ST-PENN STA,123,IRT,318,40.750373,-73.991057
R031,R135,34 ST-PENN STA,123,IRT,318,40.750373,-73.991057
R031,R137,34 ST-PENN STA,123,IRT,318,40.750373,-73.991057
R031,R139,34 ST-PENN STA,123,IRT,318,40.750373,-73.991057
R032,R145,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R032,A021,42 ST-TIMES SQ,1237ACENQRS,BMT,611,40.755983,-73.986229
R032,R143,42 ST-TIMES SQ,ACENQRS1237,IRT,611,40.755983,-73.986229
R032,R146,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R033,R151,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R033,R148,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R033,R150,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R033,R153,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R033,R147,42 ST-TIMES SQ,1237ACENQRS,IRT,611,40.755983,-73.986229
R034,R174,125 ST,1,IRT,306,40.815581,-73.958372
R035,R182,168 ST-BROADWAY,1AC,IRT,605,40.840556,-73.940133
R035,N012,168 ST-BROADWAY,1AC,IND,605,40.840556,-73.940133
R035,N013,168 ST-BROADWAY,AC1,IND,605,40.840556,-73.940133
R036,R186,DYCKMAN ST,1,IRT,299,40.860531,-73.925536
R037,R188,207 ST,1,IRT,298,40.864621,-73.918822
R038,R190,215 ST,1,IRT,297,40.869444,-73.915279
R039,R192,MARBLE HILL-225,1,IRT,296,40.874561,-73.909831
R040,R194,231 ST,1,IRT,295,40.878856,-73.904834
R041,R201,BOWLING GREEN,45,IRT,414,40.704817,-74.014065
R041,R200A,BOWLING GREEN,45,IRT,414,40.704817,-74.014065
R042,R202,BOWLING GREEN,45,IRT,414,40.704817,-74.014065
R043,R203,WALL ST,45,IRT,413,40.707557,-74.011862
R043,R203A,WALL ST,45,IRT,413,40.707557,-74.011862
R043,R204,WALL ST,45,IRT,413,40.707557,-74.011862
R043,R204A,WALL ST,45,IRT,413,40.707557,-74.011862
R044,R210,BROOKLYN BRIDGE,456JZ,IRT,622,40.713065,-74.004131
R044,A069,CHAMBERS ST,456JZ,BMT,622,40.713065,-74.004131
R044,A071,CHAMBERS ST,JZ456,BMT,622,40.713065,-74.004131
R044,R210A,BROOKLYN BRIDGE,JZ456,IRT,622,40.713065,-74.004131
R045,R236,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R045,R233,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R046,R238,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R046,R237,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R046,R238A,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R047,R240,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R047,R237B,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R048,R241A,42 ST-GRD CNTRL,4567S,IRT,610,40.752769,-73.979189
R049,R243,51 ST,6,IRT,612,40.757107,-73.97192
R049,R242,51 ST,6,IRT,612,40.757107,-73.97192
R049,R242A,51 ST,6,IRT,612,40.757107,-73.97192
R050,R244,59 ST,456NQR,IRT,613,40.762526,-73.967967
R050,R244A,59 ST,456NQR,IRT,613,40.762526,-73.967967
R050,A004,LEXINGTON AVE,456NQR,BMT,613,40.762526,-73.967967
R051,R245,59 ST,456NQR,IRT,613,40.762526,-73.967967
R051,R245A,59 ST,456NQR,IRT,613,40.762526,-73.967967
R051,A002,LEXINGTON AVE,456NQR,BMT,613,40.762526,-73.967967
R052,R294,WOODLAWN ROAD,4,IRT,378,40.886037,-73.878751
R053,R311,149 ST-3 AVE,25,IRT,434,40.816109,-73.917757
R053,R310,149 ST-3 AVE,25,IRT,434,40.816109,-73.917757
R054,R501,5 AVE-BRYANT PK,7BDFM,IRT,609,40.753821,-73.981963
R054,R500,5 AVE-BRYANT PK,7BDFM,IRT,609,40.753821,-73.981963
R055,R533,MAIN ST,7,IRT,447,40.7596,-73.83003
R055,R534,MAIN ST,7,IRT,447,40.7596,-73.83003
R056,R608,NEVINS ST,2345,IRT,337,40.688246,-73.980492
R056,R609,NEVINS ST,2345,IRT,337,40.688246,-73.980492
R057,R610,ATLANTIC AVE,2345BDNQR,IRT,617,40.684359,-73.977666
R057,B001,ATLANTIC AVE,2345BDNQR,BMT,617,40.684359,-73.977666
R057,B002,ATLANTIC AVE,BDNQR2345,BMT,617,40.684359,-73.977666
R057,C009,PACIFIC ST,BDNQR2345,BMT,617,40.684359,-73.977666
R058,R617,BERGEN ST,23,IRT,339,40.680829,-73.975098
R058,R618,BERGEN ST,23,IRT,339,40.680829,-73.975098
R059,R619,GRAND ARMY PLAZ,23,IRT,340,40.675235,-73.971046
R060,R621,EASTERN PKWY,23,IRT,341,40.671987,-73.964375
R061,R623,NOSTRAND AVE,3,IRT,343,40.669847,-73.950466
R062,R626,CROWN HTS-UTICA,34,IRT,345,40.668897,-73.932942
R062,R625,CROWN HTS-UTICA,34,IRT,345,40.668897,-73.932942
R063,R627,SUTTER AVE,3,IRT,346,40.664717,-73.92261
R064,R628,SARATOGA AVE,3,IRT,347,40.661453,-73.916327
R065,R629,ROCKAWAY AVE,3,IRT,348,40.662549,-73.908946
R066,R630,JUNIUS ST,3,IRT,349,40.663515,-73.902447
R067,R632,PENNSYLVANIA AV,3,IRT,350,40.664635,-73.894895
R068,R633,VAN SICLEN AVE,3,IRT,351,40.665449,-73.889395
R069,R634,NEW LOTS AVE,3,IRT,352,40.666235,-73.884079
R070,S101,ST. GEORGE,1,SRT,501,40.643748,-74.073643
R070,S101A,ST. GEORGE,1,SRT,501,40.643748,-74.073643
R076,MCC07,2 BDWY CUST SRV,45,IRT,414,40.704817,-74.014065
R079,A006,5 AVE-59 ST,NQR,BMT,8,40.764811,-73.973347
R079,A007,5 AVE-59 ST,NQR,BMT,8,40.764811,-73.973347
R080,A010,57 ST-7 AVE,NQR,BMT,9,40.764664,-73.980658
R080,A011,57 ST-7 AVE,NQR,BMT,9,40.764664,-73.980658
R081,A015,49 ST-7 AVE,NQR,BMT,10,40.759901,-73.984139
R081,A013,49 ST-7 AVE,NQR,BMT,10,40.759901,-73.984139
R081,A014,49 ST-7 AVE,NQR,BMT,10,40.759901,-73.984139
R081,A016,49 ST-7 AVE,NQR,BMT,10,40.759901,-73.984139
R082,A029,28 ST-BROADWAY,NR,BMT,13,40.745494,-73.988691
R082,A027,28 ST-BROADWAY,NR,BMT,13,40.745494,-73.988691
R083,A031,23 ST-5 AVE,NR,BMT,14,40.741303,-73.989344
R083,A030,23 ST-5 AVE,NR,BMT,14,40.741303,-73.989344
R084,R158,59 ST-COLUMBUS,1ABCD,IRT,614,40.768247,-73.981929
R084,N049,59 ST-COLUMBUS,1ABCD,IND,614,40.768247,-73.981929
R084,N051,59 ST-COLUMBUS,ABCD1,IND,614,40.768247,-73.981929
R085,A038,8 ST-B'WAY NYU,NR,BMT,16,40.730328,-73.992629
R085,A039,8 ST-B'WAY NYU,NR,BMT,16,40.730328,-73.992629
R086,A041,PRINCE ST-B'WAY,NR,BMT,17,40.724329,-73.997702
R086,A042,PRINCE ST-B'WAY,NR,BMT,17,40.724329,-73.997702
R087,A047,MURRAY ST-B'WAY,R,BMT,20,40.713282,-74.006978
R088,A050,CORTLANDT ST,R,BMT,624,40.713051,-74.008811
R088,A052,CORTLANDT ST,R,BMT,624,40.713051,-74.008811
R088,A051,CORTLANDT ST,R,BMT,624,40.713051,-74.008811
R088,A053,CORTLANDT ST,R,BMT,624,40.713051,-74.008811
R089,C003,JAY ST-METROTEC,R,BMT,636,40.692338,-73.987342
R089,C004,JAY ST-METROTEC,R,BMT,636,40.692338,-73.987342
R090,R510,BEEBE-39 AVE,NQ,BMT,6,40.752882,-73.932755
R091,R511,WASHINGTON-36 A,NQ,BMT,5,40.756804,-73.929575
R092,R512,BROADWAY-31 ST,NQ,BMT,4,40.76182,-73.925508
R093,R513,GRAND-30 AVE,NQ,BMT,3,40.766779,-73.921479
R094,R514,HOYT ST-ASTORIA,NQ,BMT,2,40.770258,-73.917843
R095,R515,DITMARS BL-31 S,NQ,BMT,1,40.775036,-73.912034
R096,R526,82 ST-JACKSON H,7,IRT,453,40.747659,-73.883697
R097,R528,JUNCTION BLVD,7,IRT,451,40.749145,-73.869527
R098,B016,CHURCH AVE,BQ,BMT,44,40.650527,-73.962982
R098,B015,CHURCH AVE,BQ,BMT,44,40.650527,-73.962982
R099,C008,DEKALB AVE,BDNQR,BMT,26,40.690635,-73.981824
R100,K026,METROPOLITAN AV,M,BMT,108,40.711396,-73.889601
R101,N020,145 ST,ABCD,IND,151,40.824783,-73.944216
R101,N019,145 ST,ABCD,IND,151,40.824783,-73.944216
R102,N026,125 ST,ACBD,IND,153,40.811109,-73.952343
R102,N025,125 ST,ACBD,IND,153,40.811109,-73.952343
R103,N124,BROADWAY-ENY,ACJLZ,IND,621,40.678334,-73.905316
R104,N207,167 ST,BD,IND,218,40.833771,-73.91844
R104,N206,167 ST,BD,IND,218,40.833771,-73.91844
R105,R127,14 ST,123FLM,IRT,601,40.737826,-74.000201
R105,R128,14 ST,123FLM,IRT,601,40.737826,-74.000201
R106,R418,CASTLE HILL AVE,6,IRT,365,40.834255,-73.851222
R107,R420,WESTCHESTER SQ,6,IRT,363,40.839892,-73.842952
R108,R602,BOROUGH HALL/CT,2345R,IRT,620,40.692404,-73.990151
R108,C001,BOROUGH HALL/CT,2345R,BMT,620,40.692404,-73.990151
R108,R601A,BOROUGH HALL/CT,R2345,IRT,620,40.692404,-73.990151
R108,R604,BOROUGH HALL/CT,2345R,IRT,620,40.692404,-73.990151
R109,R639,CHURCH AVE,25,IRT,356,40.650843,-73.949575
R110,R645,FLATBUSH AVE,25,IRT,359,40.632836,-73.947642
R110,R646,FLATBUSH AVE,25,IRT,359,40.632836,-73.947642
R110,R647,FLATBUSH AVE,25,IRT,359,40.632836,-73.947642
R111,N076,23 ST,CE,IND,165,40.745906,-73.998041
R111,N075,23 ST,CE,IND,165,40.745906,-73.998041
R111,N077,23 ST,CE,IND,165,40.745906,-73.998041
R112,N217,FORDHAM ROAD,BD,IND,213,40.861296,-73.897749
R112,N218,FORDHAM ROAD,BD,IND,213,40.861296,-73.897749
R113,N301,7 AVE-53 ST,BDE,IND,277,40.762862,-73.981637
R113,N300,7 AVE-53 ST,BDE,IND,277,40.762862,-73.981637
R114,N339A,PARSONS BLVD,F,IND,256,40.707564,-73.803326
R114,N339,PARSONS BLVD,F,IND,256,40.707564,-73.803326
R115,N340,169 ST,F,IND,255,40.71047,-73.793604
R115,N340A,169 ST,F,IND,255,40.71047,-73.793604
R116,R154,50 ST,1,IRT,316,40.761728,-73.983849
R116,R155,50 ST,1,IRT,316,40.761728,-73.983849
R117,R197,242 ST,1,IRT,293,40.889248,-73.898583
R118,A066,CANAL ST,JNQRZ6,BMT,623,40.718803,-74.000193
R119,R289,FORDHAM ROAD,4,IRT,382,40.862803,-73.901034
R120,R415,MORRISON AVE,6,IRT,368,40.829521,-73.874516
R121,R509,QUEENSBORO PLZ,7NQ,IRT,461,40.750582,-73.940202
R122,R527,90 ST-ELMHURST,7,IRT,452,40.748408,-73.876613
R123,R622,FRANKLIN AVE,2345S,IRT,626,40.670682,-73.958131
R124,R624,KINGSTON AVE,3,IRT,344,40.669399,-73.942161
R125,A083,BROAD ST,JZ,BMT,107,40.706476,-74.011056
R125,A084,BROAD ST,JZ,BMT,107,40.706476,-74.011056
R125,A085,BROAD ST,JZ,BMT,107,40.706476,-74.011056
R126,N010,175 ST,A,IND,147,40.847391,-73.939704
R126,N011,175 ST,A,IND,147,40.847391,-73.939704
R127,N103,JAY ST-METROTEC,ACF,IND,636,40.692338,-73.987342
R127,N102,JAY ST-METROTEC,ACF,IND,636,40.692338,-73.987342
R128,N338B,SUTPHIN BLVD,F,IND,257,40.70546,-73.810708
R128,N338,SUTPHIN BLVD,F,IND,257,40.70546,-73.810708
R129,N532,BERGEN ST,FG,IND,236,40.686145,-73.990862
R129,N531,BERGEN ST,FG,IND,236,40.686145,-73.990862
R129,N533,BERGEN ST,FG,IND,236,40.686145,-73.990862
R130,N557,KINGS HIGHWAY,F,IND,250,40.603217,-73.972361
R130,N558,KINGS HIGHWAY,F,IND,250,40.603217,-73.972361
R131,R227,23 ST,6,IRT,405,40.739864,-73.986599
R131,R227A,23 ST,6,IRT,405,40.739864,-73.986599
R131,R226,23 ST,6,IRT,405,40.739864,-73.986599
R131,R226A,23 ST,6,IRT,405,40.739864,-73.986599
R132,R258,125 ST,456,IRT,392,40.804138,-73.937594
R133,R293,MOSHOLU PARKWAY,4,IRT,379,40.87975,-73.884655
R134,R507,HUNTERS PT AVE,7,IRT,463,40.742216,-73.948916
R135,R643,NEWKIRK AVE,25,IRT,358,40.639967,-73.948411
R135,R644,NEWKIRK AVE,25,IRT,358,40.639967,-73.948411
R136,B027,SHEEPSHEAD BAY,BQ,BMT,54,40.586896,-73.954155
R136,B028,SHEEPSHEAD BAY,BQ,BMT,54,40.586896,-73.954155
R137,H026,MYRTLE AVE,LM,BMT,630,40.699814,-73.911586
R137,H027,MYRTLE AVE,LM,BMT,630,40.699814,-73.911586
R138,N080,W 4 ST-WASH SQ,ABCDEFM,IND,167,40.732338,-74.000495
R138,N083,W 4 ST-WASH SQ,ABCDEFM,IND,167,40.732338,-74.000495
R139,N089,CANAL ST,ACE,IND,169,40.720824,-74.005229
R139,N090,CANAL ST,ACE,IND,169,40.720824,-74.005229
R140,N309A,QUEENS PLAZA,EMR,IND,273,40.748973,-73.937243
R140,N310,QUEENS PLAZA,EMR,IND,273,40.748973,-73.937243
R141,N333A,FOREST HILLS-71,EFMR,IND,261,40.721691,-73.844521
R141,N333,FOREST HILLS-71,EFMR,IND,261,40.721691,-73.844521
R141,N333B,FOREST HILLS-71,EFMR,IND,261,40.721691,-73.844521
R142,A061,ESSEX ST,FJMZ,BMT,625,40.718611,-73.988114
R142,N525,DELANCEY ST,FJMZ,IND,625,40.718611,-73.988114
R142,N526,DELANCEY ST,FJMZ,IND,625,40.718611,-73.988114
R143,R228,28 ST,6,IRT,404,40.74307,-73.984264
R143,R229,28 ST,6,IRT,404,40.74307,-73.984264
R143,R230,28 ST,6,IRT,404,40.74307,-73.984264
R144,R251,96 ST,6,IRT,396,40.785672,-73.95107
R145,R336,WAKEFIELD-241,2,IRT,416,40.903125,-73.85062
R146,R412,HUNTS POINT AVE,6,IRT,371,40.820948,-73.890549
R147,R523,61 ST/WOODSIDE,7,IRT,456,40.74563,-73.902984
R148,B014,PARKSIDE AVE,BQ,BMT,43,40.655292,-73.961495
R149,B019,NEWKIRK AVE,BQ,BMT,47,40.635082,-73.962793
R150,B025,AVE U,BQ,BMT,52,40.5993,-73.955929
R151,G001,STILLWELL AVE,DFNQ,BMT,58,40.577422,-73.981233
R151,G009,STILLWELL AVE,DFNQ,BMT,58,40.577422,-73.981233
R152,H041,ROCKAWAY PKY,L,BMT,138,40.646654,-73.90185
R153,N120,UTICA AVE,AC,IND,181,40.679364,-73.930729
R153,N120A,UTICA AVE,AC,IND,181,40.679364,-73.930729
R154,N213,TREMONT AVE,BD,IND,215,40.85041,-73.905227
R154,N214,TREMONT AVE,BD,IND,215,40.85041,-73.905227
R155,N221,KINGSBRIDGE RD,BD,IND,212,40.866978,-73.893509
R155,N220,KINGSBRIDGE RD,BD,IND,212,40.866978,-73.893509
R156,N222,BEDFORD PARK BL,BD,IND,211,40.873244,-73.887138
R156,N223,BEDFORD PARK BL,BD,IND,211,40.873244,-73.887138
R157,N224,NORWOOD-205 ST,D,IND,210,40.874811,-73.878855
R157,N225,NORWOOD-205 ST,D,IND,210,40.874811,-73.878855
R158,N336,UNION TPK-KEW G,EF,IND,259,40.714441,-73.831008
R158,N335,UNION TPK-KEW G,EF,IND,259,40.714441,-73.831008
R159,R173,116 ST-COLUMBIA,1,IRT,307,40.807722,-73.96411
R160,R219,ASTOR PLACE,6,IRT,407,40.730054,-73.99107
R160,R220,ASTOR PLACE,6,IRT,407,40.730054,-73.99107
R161,R290,KINGSBRIDGE RD,4,IRT,381,40.86776,-73.897174
R162,R414,ELDER AVE,6,IRT,369,40.828584,-73.879159
R163,N512,14 ST-6 AVE,FLM123,IND,601,40.737826,-74.000201
R163,H003,6 AVE,FLM123,BMT,601,40.737826,-74.000201
R163,N510,14 ST-6 AVE,FLM123,IND,601,40.737826,-74.000201
R163,N511,14 ST-6 AVE,FLM123,IND,601,40.737826,-74.000201
R163,N513,14 ST-6 AVE,FLM123,IND,601,40.737826,-74.000201
R164,R160A,66 ST-LINCOLN,1,IRT,314,40.77344,-73.982209
R164,R159,66 ST-LINCOLN,1,IRT,314,40.77344,-73.982209
R164,R160,66 ST-LINCOLN,1,IRT,314,40.77344,-73.982209
R165,S102,TOMPKINSVILLE,1,SRT,502,40.636949,-74.074835
R166,R162,79 ST,1,IRT,312,40.783934,-73.979917
R166,R163,79 ST,1,IRT,312,40.783934,-73.979917
R167,R164,86 ST,1,IRT,311,40.788644,-73.976218
R167,R165,86 ST,1,IRT,311,40.788644,-73.976218
R167,R166,86 ST,1,IRT,311,40.788644,-73.976218
R168,R168A,96 ST,123,IRT,310,40.793919,-73.972323
R168,R168,96 ST,123,IRT,310,40.793919,-73.972323
R169,R176,137 ST-CITY COL,1,IRT,305,40.822008,-73.953676
R169,R175,137 ST-CITY COL,1,IRT,305,40.822008,-73.953676
R170,A035,14 ST-UNION SQ,LNQR456,BMT,602,40.734673,-73.989951
R170,R221,14 ST-UNION SQ,LNQR456,IRT,602,40.734673,-73.989951
R170,A033,14 ST-UNION SQ,456LNQR,BMT,602,40.734673,-73.989951
R170,A034,14 ST-UNION SQ,LNQR456,BMT,602,40.734673,-73.989951
R170,A036,14 ST-UNION SQ,LNQR456,BMT,602,40.734673,-73.989951
R170,A037,14 ST-UNION SQ,LNRQ456,BMT,602,40.734673,-73.989951
R171,B004,7 AVE,BQ,BMT,41,40.67705,-73.972367
R172,B029,BRIGHTON BEACH,BQ,BMT,55,40.577621,-73.961376
R172,B031,BRIGHTON BEACH,BQ,BMT,55,40.577621,-73.961376
R173,N002A,INWOOD-207 ST,A,IND,143,40.868072,-73.919899
R173,N001,INWOOD-207 ST,A,IND,143,40.868072,-73.919899
R174,N007A,181 ST,A,IND,146,40.851695,-73.937969
R174,N009,181 ST,A,IND,146,40.851695,-73.937969
R175,H001,8 AVE,ACEL,BMT,618,40.740893,-74.00169
R175,N078,14 ST,ACEL,IND,618,40.740893,-74.00169
R176,R231,33 ST,6,IRT,403,40.746081,-73.982076
R176,R231A,33 ST,6,IRT,403,40.746081,-73.982076
R176,R232,33 ST,6,IRT,403,40.746081,-73.982076
R176,R232A,33 ST,6,IRT,403,40.746081,-73.982076
R177,R246,68ST-HUNTER COL,6,IRT,399,40.768141,-73.96387
R178,R248,77 ST,6,IRT,398,40.77362,-73.959874
R178,R247,77 ST,6,IRT,398,40.77362,-73.959874
R179,R250,86 ST,456,IRT,397,40.779492,-73.955589
R179,R249,86 ST,456,IRT,397,40.779492,-73.955589
R180,R252,103 ST,6,IRT,395,40.7906,-73.947478
R181,R253,110 ST,6,IRT,394,40.79502,-73.94425
R181,R254,110 ST,6,IRT,394,40.79502,-73.94425
R182,R256,116 ST,6,IRT,393,40.798629,-73.941617
R182,R257,116 ST,6,IRT,393,40.798629,-73.941617
R183,R291,BEDFORD PARK BL,4,IRT,380,40.873412,-73.890064
R184,B018,CORTELYOU ROAD,BQ,BMT,46,40.640927,-73.963891
R185,N003,DYCKMAN-200 ST,A,IND,144,40.865491,-73.927271
R186,N043,86 ST,BC,IND,158,40.785868,-73.968916
R186,N042,86 ST,BC,IND,158,40.785868,-73.968916
R187,N044,81 ST-MUSEUM,BC,IND,159,40.781433,-73.972143
R187,N045,81 ST-MUSEUM,BC,IND,159,40.781433,-73.972143
R188,N057,50 ST,CE,IND,162,40.762456,-73.985984
R188,N056,50 ST,CE,IND,162,40.762456,-73.985984
R189,R125,CHRISTOPHER ST,1,IRT,323,40.733422,-74.002906
R189,R126,CHRISTOPHER ST,1,IRT,323,40.733422,-74.002906
R190,R131,23 ST,1,IRT,320,40.744081,-73.995657
R190,R132,23 ST,1,IRT,320,40.744081,-73.995657
R191,R170,103 ST,1,IRT,309,40.799446,-73.968379
R192,R172,110 ST-CATHEDRL,1,IRT,308,40.803967,-73.966847
R192,R171,110 ST-CATHEDRL,1,IRT,308,40.803967,-73.966847
R193,R180,157 ST,1,IRT,303,40.834041,-73.94489
R193,R179,157 ST,1,IRT,303,40.834041,-73.94489
R194,R217A,BLEECKER ST,6DF,IRT,619,40.725915,-73.994659
R195,N203,161 ST-YANKEE,BD4,IND,604,40.827994,-73.925831
R195,N204,161 ST-YANKEE,BD4,IND,604,40.827994,-73.925831
R195,N205,161 ST-YANKEE,BD4,IND,604,40.827994,-73.925831
R195,R262,161 ST-YANKEE,BD4,IRT,604,40.827994,-73.925831
R195,R262A,161 ST-YANKEE,4BD,IRT,604,40.827994,-73.925831
R195,R262B,161 ST-YANKEE,4BD,IRT,604,40.827994,-73.925831
R196,B012,PROSPECT PARK,BQS,BMT,42,40.661614,-73.962246
R196,B013,PROSPECT PARK,BQS,BMT,42,40.661614,-73.962246
R197,C018,36 ST,DNR,BMT,32,40.655144,-74.003549
R198,N116,NOSTRAND AVE,AC,IND,179,40.680438,-73.950426
R198,N117,NOSTRAND AVE,AC,IND,179,40.680438,-73.950426
R199,N119,KINGSTON-THROOP,C,IND,180,40.679921,-73.940858
R199,N118,KINGSTON-THROOP,C,IND,180,40.679921,-73.940858
R200,N128,EUCLID AVE,AC,IND,188,40.675377,-73.872106
R201,N329,WOODHAVEN BLVD,MR,IND,264,40.733106,-73.869229
R201,N329A,WOODHAVEN BLVD,MR,IND,264,40.733106,-73.869229
R202,N330B,63 DR-REGO PARK,MR,IND,263,40.729846,-73.861604
R202,N330C,63 DR-REGO PARK,MR,IND,263,40.729846,-73.861604
R203,N509,23 ST-6 AVE,FM,IND,228,40.742878,-73.992821
R204,N546,CHURCH AVE,FG,IND,243,40.644041,-73.979678
R204,N545,CHURCH AVE,FG,IND,243,40.644041,-73.979678
R205,R261,149 ST-GR CONC,245,IRT,603,40.81841,-73.926718
