          area       scp  index                  dt     i     o  idiff  odiff     idiff_ph   odiff_ph        iz        oz     cumiz     cumoz
34470534  N507  00-03-02   5433 2017-03-27 00:00:00  3160406  2182819   31.0   44.0     7.750000    11.000000  0.022123  0.022272  0.001821  0.001953
34470535  N507  00-03-02   5434 2017-03-27 04:00:00  3160413  2182822    7.0    3.0     1.750000     0.750000  0.022436  0.023042  0.001827  0.001966
34470536  N507  00-03-02   5435 2017-03-27 07:59:59  3160620  2182931  207.0  109.0    51.753594    27.251892  0.019822  0.021051  0.001776  0.001933
34470537  N507  00-03-02   5436 2017-03-27 08:00:00  3160622  2182932    2.0    1.0  7200.000000  3600.000000  0.353893  0.247351  0.005534  0.002605
34470538  N507  00-03-02   5437 2017-03-27 08:13:39  3160660  2182954   38.0   22.0   167.032967    96.703297  0.013795  0.015833  0.001658  0.001845
34470539  N507  00-03-02   5438 2017-03-27 12:00:00  3161406  2183382  746.0  428.0   197.746852   113.452618  0.012189  0.014575  0.001627  0.001823
34470540  N507  00-03-02   5439 2017-03-27 16:00:00  3161639  2183625  233.0  243.0    58.250000    60.750000  0.019482  0.018534  0.001769  0.001890
34470541  N507  00-03-02   5440 2017-03-27 20:00:00  3162435  2184136  796.0  511.0   199.000000   127.750000  0.012124  0.013501  0.001625  0.001805



          area       scp  index                  dt         i        o  idiff  odiff     idiff_ph    odiff_ph         iz        oz     cumiz     cumoz
38356473  N603  00-00-02   8756 2018-10-18 09:53:20  11769687  9795231  730.0   87.0   386.470588   46.058824   2.769287  0.154827  0.001434  0.001909
38356474  N603  00-00-02   8757 2018-10-18 09:54:23  11769696  9795231    9.0    0.0   514.285714    0.000000   3.956470  1.089188  0.001303  0.001967
38356475  N603  00-00-02   8758 2018-10-18 11:58:39  11770104  9795326  408.0   95.0   196.995708   45.869099   1.009392  0.158676  0.001627  0.001909
38356476  N603  00-00-02   8759 2018-10-18 11:59:59  11770106  9795327    2.0    1.0    90.000000   45.000000   0.015586  0.176306  0.001737  0.001910
38356477  N603  00-00-02   8760 2018-10-18 12:00:00  11770108  9795327    2.0    0.0  7200.000000    0.000000  66.055237  1.089188  0.005534  0.001967
38356478  N603  00-00-02   8761 2018-10-18 12:01:20  11770108  9795327    0.0    0.0     0.000000    0.000000   0.820359  1.089188  0.001829  0.001967
38356479  N603  00-00-02   8762 2018-10-18 16:00:00  11770786  9795637  678.0  310.0   170.446927   77.932961   0.762800  0.491780  0.001655  0.001868
38356480  N603  00-00-02   8763 2018-10-18 20:00:00  11771667  9796069  881.0  432.0   220.250000  108.000000   1.225384  1.101728  0.001604  0.001830
38356481  N603  00-00-02   8764 2018-10-19 00:00:00  11771837  9796422  170.0  353.0    42.500000   88.250000   0.425607  0.701074  0.001785  0.001855



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph    odiff_ph        iz        oz     cumiz     cumoz
25697410  N209  00-00-00   9557 2019-02-18 20:00:00  4909768  4153866  161.0  505.0    40.250000  126.250000  0.008678  0.001738  0.001788  0.001807
25697411  N209  00-00-00   9558 2019-02-19 00:00:00  4909829  4154145   61.0  279.0    15.250000   69.750000  0.010995  0.004474  0.001813  0.001879
25697412  N209  00-00-00   9559 2019-02-19 04:00:00  4909843  4154236   14.0   91.0     3.500000   22.750000  0.012085  0.009642  0.001825  0.001938
25697413  N209  00-00-00   9560 2019-02-19 07:59:59  4910140  4154352  297.0  116.0    74.255157   29.002014  0.005525  0.008954  0.001753  0.001931
25697414  N209  00-00-00   9561 2019-02-19 08:00:00  4910142  4154352    2.0    0.0  7200.000000    0.000000  0.655101  0.012143  0.005534  0.001967
25697415  N209  00-00-00   9562 2019-02-19 12:00:00  4910485  4154632  343.0  280.0    85.750000   70.000000  0.004459  0.004447  0.001741  0.001878
25697416  N209  00-00-00   9563 2019-02-19 16:00:00  4910733  4154894  248.0  262.0    62.000000   65.500000  0.006661  0.004941  0.001765  0.001884
25697417  N209  00-00-00   9564 2019-02-19 20:00:00  4910945  4155308  212.0  414.0    53.000000  103.500000  0.007496  0.000763  0.001775  0.001836
25697418  N209  00-00-00   9565 2019-02-20 00:00:00  4910990  4155425   45.0  117.0    11.250000   29.250000  0.011366  0.008927  0.001817  0.001930



          area       scp  index                  dt       i        o  idiff  odiff     idiff_ph    odiff_ph         iz        oz     cumiz     cumoz
56846114  R252  00-03-01   2519 2017-06-04 09:00:00  921680  1586627   45.0   96.0    11.250000   24.000000   0.442158  0.923219  0.001817  0.001937
56846115  R252  00-03-01   2520 2017-06-04 13:00:00  921861  1586887  181.0  260.0    45.250000   65.000000   0.001259  0.417228  0.001783  0.001885
56846116  R252  00-03-01   2521 2017-06-04 16:18:25  922076  1587350  215.0  463.0    65.014700  140.008400   0.255042  0.508468  0.001762  0.001790
56846117  R252  00-03-01   2522 2017-06-04 16:21:09  922077  1587353    1.0    3.0    21.951220   65.853659   0.303389  0.406693  0.001806  0.001884
56846118  R252  00-03-01   2523 2017-06-04 16:21:10  922079  1587353    2.0    0.0  7200.000000    0.000000  92.778855  1.219408  0.005534  0.001967
56846119  R252  00-03-01   2524 2017-06-04 16:22:30  922079  1587353    0.0    0.0     0.000000    0.000000   0.588044  1.219408  0.001829  0.001967
56846120  R252  00-03-01   2525 2017-06-04 16:23:47  922081  1587361    2.0    8.0    93.506494  374.025974   0.624513  3.396534  0.001733  0.001492
56846121  R252  00-03-01   2526 2017-06-04 17:00:00  922110  1587448   29.0   87.0    48.044179  144.132536   0.034975  0.559365  0.001780  0.001784
56846122  R252  00-03-01   2527 2017-06-04 19:38:26  922187  1587747   77.0  299.0    29.160530  113.233747   0.209901  0.178036  0.001799  0.001824



          area       scp  index                  dt        i        o   idiff  odiff     idiff_ph      odiff_ph         iz          oz     cumiz     cumoz
44518513  R110  01-00-01   5607 2017-05-08 20:00:00  9936219  7308399   501.0  106.0   222.282475     47.029825   1.968119    0.011329  0.001602  0.001908
44518514  R110  01-00-01   5608 2017-05-09 00:00:00  9936403  7308495   184.0   96.0    46.000000     24.000000   0.004963    0.080610  0.001782  0.001937
44518515  R110  01-00-01   5609 2017-05-09 04:00:00  9936418  7308517    15.0   22.0     3.750000      5.500000   0.465551    0.136264  0.001825  0.001960
44518516  R110  01-00-01   5610 2017-05-09 07:59:59  9936468  7308870    50.0  353.0    12.500868     88.256129   0.368098    0.112694  0.001816  0.001855
44518517  R110  01-00-01   5611 2017-05-09 08:00:00  9936470  7308881     2.0   11.0  7200.000000  39600.000000  79.674928  118.976967  0.005534  0.048334
44518518  R110  01-00-01   5612 2017-05-09 08:57:08  9936523  7309258    53.0  377.0    55.659277    395.915986   0.112532    1.038235  0.001772  0.001464
44518519  R110  01-00-01   5613 2017-05-09 12:00:00  9936668  7309910   145.0  652.0    47.575647    213.926358   0.022510    0.490751  0.001780  0.001696
44518520  R110  01-00-01   5614 2017-05-09 16:00:00  9937067  7310103   399.0  193.0    99.750000     48.250000   0.603545    0.007658  0.001727  0.001906
44518521  R110  01-00-01   5615 2017-05-09 20:00:00  9938107  7310246  1040.0  143.0   260.000000     35.750000   2.388157    0.045262  0.001563  0.001922



          area       scp  index                  dt      i      o  idiff  odiff     idiff_ph     odiff_ph         iz         oz     cumiz     cumoz
68626234  R627  00-03-00    240 2017-07-25 20:00:00  33993  26850  159.0  391.0    39.750000    97.750000   0.163170   2.003833  0.001788  0.001843
68626235  R627  00-03-00    241 2017-07-26 00:00:00  34053  27009   60.0  159.0    15.000000    39.750000   0.228747   0.295578  0.001814  0.001917
68626236  R627  00-03-00    242 2017-07-26 04:00:00  34070  27050   17.0   41.0     4.250000    10.250000   0.398973   0.573277  0.001824  0.001954
68626237  R627  00-03-00    243 2017-07-26 07:59:58  34357  27082  287.0   32.0    71.759967     8.001111   0.670048   0.639512  0.001755  0.001957
68626238  R627  00-03-00    244 2017-07-26 08:00:00  34360  27083    3.0    1.0  5400.000000  1800.000000  85.042854  52.139663  0.003693  0.000319
68626239  R627  00-03-00    245 2017-07-26 08:02:34  34364  27086    4.0    3.0    93.506494    70.129870   1.014405   1.190346  0.001733  0.001878
68626240  R627  00-03-00    246 2017-07-26 08:07:04  34375  27086   11.0    0.0   146.666667     0.000000   1.856198   0.875167  0.001679  0.001967
68626241  R627  00-03-00    247 2017-07-26 09:00:23  34485  27121  110.0   35.0   123.788684    39.387309   1.493924   0.284895  0.001702  0.001917
68626242  R627  00-03-00    248 2017-07-26 12:00:00  34683  27174  198.0   53.0    66.140856    17.704370   0.581070   0.353725  0.001761  0.001945



          area       scp  index                  dt      i      o  idiff  odiff     idiff_ph    odiff_ph        iz        oz     cumiz     cumoz
68644318  R627  00-03-02    242 2017-07-25 20:00:00  29231  69277  197.0  853.0    49.250000  213.250000  0.002092  0.015253  0.001778  0.001697
68644319  R627  00-03-02    243 2017-07-26 00:00:00  29303  69644   72.0  367.0    18.000000   91.750000  0.018264  0.008994  0.001810  0.001851
68644320  R627  00-03-02    244 2017-07-26 04:00:00  29320  69766   17.0  122.0     4.250000   30.500000  0.025379  0.021218  0.001824  0.001929
68644321  R627  00-03-02    245 2017-07-26 07:59:58  29625  69861  305.0   95.0    76.260592   23.753299  0.011885  0.022564  0.001751  0.001937
68644322  R627  00-03-02    246 2017-07-26 08:00:00  29628  69861    3.0    0.0  5400.000000    0.000000  2.766804  0.027305  0.003693  0.001967
68644323  R627  00-03-02    247 2017-07-26 08:02:34  29632  69876    4.0   15.0    93.506494  350.649351  0.020809  0.042673  0.001733  0.001522
68644324  R627  00-03-02    248 2017-07-26 08:07:04  29641  69877    9.0    1.0   120.000000   13.333333  0.034519  0.024644  0.001706  0.001950
68644325  R627  00-03-02    249 2017-07-26 09:00:23  29744  69945  103.0   68.0   115.911222   76.523914  0.032403  0.012033  0.001710  0.001870
68644326  R627  00-03-02    250 2017-07-26 12:00:00  29946  70125  202.0  180.0    67.477034   60.128050  0.007340  0.015305  0.001760  0.001891



         area       scp  index                  dt        i        o  idiff   odiff     idiff_ph     odiff_ph         iz        oz     cumiz     cumoz
8729773  D002  00-00-01   5563 2017-04-19 01:00:00  3164303  6329939   68.0   372.0    17.000000    93.000000   0.140361  0.013892  0.001811  0.001849
8729774  D002  00-00-01   5564 2017-04-19 05:00:00  3164326  6329964   23.0    25.0     5.750000     6.250000   0.181039  0.079078  0.001823  0.001959
8729775  D002  00-00-01   5565 2017-04-19 09:00:00  3165198  6330449  872.0   485.0   218.000000   121.250000   0.586419  0.007336  0.001606  0.001813
8729776  D002  00-00-01   5566 2017-04-19 12:59:58  3165563  6331192  365.0   743.0    91.262675   185.775802   0.128160  0.055822  0.001736  0.001731
8729777  D002  00-00-01   5567 2017-04-19 13:00:00  3165566  6331193    3.0     1.0  5400.000000  1800.000000  19.323583  1.268786  0.003693  0.000319
8729778  D002  00-00-01   5568 2017-04-19 17:00:00  3165960  6332297  394.0  1104.0    98.500000   276.000000   0.154328  0.123618  0.001728  0.001617
8729779  D002  00-00-01   5569 2017-04-19 21:00:00  3166307  6333431  347.0  1134.0    86.750000   283.500000   0.111843  0.129254  0.001740  0.001607
8729780  D002  00-00-01   5570 2017-04-20 01:00:00  3166384  6333794   77.0   363.0    19.250000    90.750000   0.132225  0.015583  0.001809  0.001852
8729781  D002  00-00-01   5571 2017-04-20 05:00:00  3166409  6333821   25.0    27.0     6.250000     6.750000   0.179231  0.078702  0.001822  0.001959



         area       scp  index                  dt        i        o  idiff  odiff   idiff_ph    odiff_ph        iz        oz     cumiz     cumoz
8714920  D002  00-00-00   5562 2017-04-19 01:00:00  2184503  3108559   42.0  103.0    10.5000   25.750000  0.040736  0.038356  0.001818  0.001935
8714921  D002  00-00-00   5563 2017-04-19 05:00:00  2184509  3108562    6.0    3.0     1.5000    0.750000  0.052415  0.058873  0.001827  0.001966
8714922  D002  00-00-00   5564 2017-04-19 09:00:00  2185106  3108859  597.0  297.0   149.2500   74.250000  0.139311  0.001446  0.001676  0.001873
8714923  D002  00-00-00   5565 2017-04-19 12:59:58  2185345  3109218  239.0  359.0    59.7583   89.762467  0.023183  0.014177  0.001768  0.001853
8714924  D002  00-00-00   5566 2017-04-19 13:00:00  2185348  3109218    3.0    0.0  5400.0000    0.000000  6.952908  0.059488  0.003693  0.001967
8714925  D002  00-00-00   5567 2017-04-19 17:00:00  2185644  3109776  296.0  558.0    74.0000  139.500000  0.041664  0.054995  0.001753  0.001790
8714926  D002  00-00-00   5568 2017-04-19 21:00:00  2185931  3110195  287.0  419.0    71.7500  104.750000  0.038744  0.026476  0.001755  0.001834
8714927  D002  00-00-00   5569 2017-04-20 01:00:00  2185981  3110334   50.0  139.0    12.5000   34.750000  0.038141  0.030970  0.001816  0.001923
8714928  D002  00-00-00   5570 2017-04-20 05:00:00  2185990  3110337    9.0    3.0     2.2500    0.750000  0.051442  0.058873  0.001827  0.001966



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph   odiff_ph        iz        oz     cumiz     cumoz
28908361  N324  00-03-01  13249 2020-08-15 07:55:56  3704840  2810343    0.0    0.0     0.000000   0.000000  0.022109  0.022021  0.001829  0.001967
28908362  N324  00-03-01  13250 2020-08-15 07:57:18  3704841  2810345    1.0    2.0    43.902439  87.804878  0.016659  0.008481  0.001784  0.001856
28908363  N324  00-03-01  13251 2020-08-15 07:58:37  3704842  2810346    1.0    1.0    45.569620  45.569620  0.016452  0.014994  0.001782  0.001909
28908364  N324  00-03-01  13252 2020-08-15 07:59:58  3704843  2810346    1.0    0.0    44.444444   0.000000  0.016592  0.022021  0.001783  0.001967
28908365  N324  00-03-01  13253 2020-08-15 08:00:00  3704846  2810346    3.0    0.0  5400.000000   0.000000  0.648267  0.022021  0.003693  0.001967
28908366  N324  00-03-01  13254 2020-08-15 08:01:16  3704848  2810346    2.0    0.0    94.736842   0.000000  0.010348  0.022021  0.001732  0.001967
28908367  N324  00-03-01  13255 2020-08-15 08:02:36  3704848  2810346    0.0    0.0     0.000000   0.000000  0.022109  0.022021  0.001829  0.001967
28908368  N324  00-03-01  13256 2020-08-15 08:03:56  3704850  2810346    2.0    0.0    90.000000   0.000000  0.010936  0.022021  0.001737  0.001967
28908369  N324  00-03-01  13257 2020-08-15 08:05:17  3704853  2810346    3.0    0.0   133.333333   0.000000  0.005557  0.022021  0.001692  0.001967



          area       scp  index                  dt       i       o  idiff  odiff     idiff_ph     odiff_ph        iz        oz     cumiz     cumoz
49341895  R169  01-00-04   8815 2018-10-08 21:00:00  387584  702162  163.0  506.0    40.750000   126.500000  0.006276  0.001297  0.001787  0.001807
49341896  R169  01-00-04   8816 2018-10-09 01:00:00  387634  702329   50.0  167.0    12.500000    41.750000  0.011769  0.009618  0.001816  0.001914
49341897  R169  01-00-04   8817 2018-10-09 05:00:00  387647  702348   13.0   19.0     3.250000     4.750000  0.013567  0.014383  0.001826  0.001961
49341898  R169  01-00-04   8818 2018-10-09 08:59:58  387847  702622  200.0  274.0    50.006945    68.509515  0.004477  0.006172  0.001778  0.001880
49341899  R169  01-00-04   8819 2018-10-09 09:00:00  387850  702623    3.0    1.0  5400.000000  1800.000000  1.035695  0.216819  0.003693  0.000319
49341900  R169  01-00-04   8820 2018-10-09 10:37:28  387946  702738   96.0  115.0    59.097127    70.793434  0.002709  0.005878  0.001768  0.001877
49341901  R169  01-00-04   8821 2018-10-09 10:48:03  387950  702746    4.0    8.0    22.677165    45.354331  0.009790  0.009154  0.001806  0.001910
49341902  R169  01-00-04   8822 2018-10-09 13:00:00  388034  702876   84.0  130.0    38.196286    59.113300  0.006773  0.007382  0.001790  0.001892
49341903  R169  01-00-04   8823 2018-10-09 17:00:00  388254  703305  220.0  429.0    55.000000   107.250000  0.003506  0.001183  0.001773  0.001831



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph   odiff_ph        iz        oz     cumiz     cumoz
28939587  N324  00-03-03  13299 2020-08-15 07:55:56  7171954  1592206    0.0    1.0     0.000000  45.000000  0.062323  0.045774  0.001829  0.001910
28939588  N324  00-03-03  13300 2020-08-15 07:57:18  7171955  1592207    1.0    1.0    43.902439  43.902439  0.038918  0.043153  0.001784  0.001912
28939589  N324  00-03-03  13301 2020-08-15 07:58:37  7171955  1592207    0.0    0.0     0.000000   0.000000  0.062323  0.061714  0.001829  0.001967
28939590  N324  00-03-03  13302 2020-08-15 07:59:58  7171955  1592207    0.0    0.0     0.000000   0.000000  0.062323  0.061714  0.001829  0.001967
28939591  N324  00-03-03  13303 2020-08-15 08:00:00  7171958  1592207    3.0    0.0  5400.000000   0.000000  2.816544  0.061714  0.003693  0.001967
28939592  N324  00-03-03  13304 2020-08-15 08:01:16  7171958  1592207    0.0    0.0     0.000000   0.000000  0.062323  0.061714  0.001829  0.001967
28939593  N324  00-03-03  13305 2020-08-15 08:02:36  7171959  1592207    1.0    0.0    45.000000   0.000000  0.038332  0.061714  0.001783  0.001967
28939594  N324  00-03-03  13306 2020-08-15 08:03:56  7171961  1592207    2.0    0.0    90.000000   0.000000  0.014342  0.061714  0.001737  0.001967
28939595  N324  00-03-03  13307 2020-08-15 08:05:17  7171962  1592207    1.0    0.0    44.444444   0.000000  0.038629  0.061714  0.001783  0.001967



           area       scp  index                  dt        i       o  idiff  odiff     idiff_ph  odiff_ph        iz        oz     cumiz     cumoz
29172616  N325A  00-06-01   5916 2017-06-12 00:00:00  2075306  176523    0.0    1.0     0.000000  0.250000  0.010178  0.010373  0.001829  0.001967
29172617  N325A  00-06-01   5917 2017-06-12 04:00:00  2075306  176523    0.0    0.0     0.000000  0.000000  0.010178  0.010375  0.001829  0.001967
29172618  N325A  00-06-01   5918 2017-06-12 08:00:00  2076026  176536  720.0   13.0   180.000000  3.250000  0.008571  0.010346  0.001645  0.001963
29172619  N325A  00-06-01   5919 2017-06-12 09:00:20  2076659  176540  633.0    4.0   629.502762  3.977901  0.004560  0.010340  0.001185  0.001962
29172620  N325A  00-06-01   5920 2017-06-12 09:00:22  2076662  176540    3.0    0.0  5400.000000  0.000000  0.038013  0.010375  0.003693  0.001967
29172621  N325A  00-06-01   5921 2017-06-12 09:01:42  2076665  176540    3.0    0.0   135.000000  0.000000  0.008973  0.010375  0.001691  0.001967
29172622  N325A  00-06-01   5922 2017-06-12 09:03:04  2076675  176540   10.0    0.0   439.024390  0.000000  0.006260  0.010375  0.001380  0.001967
29172623  N325A  00-06-01   5923 2017-06-12 09:04:25  2076685  176540   10.0    0.0   444.444444  0.000000  0.006211  0.010375  0.001374  0.001967
29172624  N325A  00-06-01   5924 2017-06-12 09:05:46  2076691  176540    6.0    0.0   266.666667  0.000000  0.007798  0.010375  0.001556  0.001967



          area       scp  index                  dt        i        o  idiff  odiff     idiff_ph     odiff_ph         iz         oz     cumiz     cumoz
68603775  R627  00-00-01   4547 2017-07-25 20:00:00  7586335  4016657  128.0  212.0    32.000000    53.000000   0.226659   0.770387  0.001796  0.001900
68603776  R627  00-00-01   4548 2017-07-26 00:00:00  7586390  4016743   55.0   86.0    13.750000    21.500000   0.481364   0.038744  0.001815  0.001940
68603777  R627  00-00-01   4549 2017-07-26 04:00:00  7586411  4016752   21.0    9.0     5.250000     2.250000   0.599994   0.533213  0.001823  0.001965
68603778  R627  00-00-01   4550 2017-07-26 07:59:58  7586669  4016786  258.0   34.0    64.508960     8.501181   0.227051   0.372641  0.001763  0.001957
68603779  R627  00-00-01   4551 2017-07-26 08:00:00  7586672  4016788    3.0    2.0  5400.000000  3600.000000  74.691619  91.881084  0.003693  0.002605
68603780  R627  00-00-01   4552 2017-07-26 08:02:34  7586676  4016790    4.0    2.0    93.506494    46.753247   0.631754   0.609928  0.001733  0.001908
68603781  R627  00-00-01   4553 2017-07-26 08:07:04  7586687  4016793   11.0    3.0   146.666667    40.000000   1.373682   0.436460  0.001679  0.001917
68603782  R627  00-00-01   4554 2017-07-26 09:00:23  7586813  4016821  126.0   28.0   141.794311    31.509847   1.305681   0.218376  0.001684  0.001927
68603783  R627  00-00-01   4555 2017-07-26 12:00:00  7586937  4016895  124.0   74.0    41.421546    24.719310   0.095167   0.043949  0.001786  0.001936



           area       scp  index                  dt       i       o  idiff  odiff     idiff_ph      odiff_ph         iz         oz     cumiz     cumoz
39301460  N701A  01-00-04   1876 2017-11-06 20:00:00  188015  186797  154.0  368.0    38.500000     92.000000   0.265341   0.629475  0.001789  0.001851
39301461  N701A  01-00-04   1877 2017-11-07 00:00:00  188046  186896   31.0   99.0     7.750000     24.750000   0.249186   0.017755  0.001821  0.001936
39301462  N701A  01-00-04   1878 2017-11-07 04:00:00  188049  186899    3.0    3.0     0.750000      0.750000   0.366314   0.200553  0.001828  0.001966
39301463  N701A  01-00-04   1879 2017-11-07 07:59:58  188140  186958   91.0   59.0    22.753160     14.752049   0.001855   0.073188  0.001806  0.001949
39301464  N701A  01-00-04   1880 2017-11-07 08:00:00  188143  186964    3.0    6.0  5400.000000  10800.000000  89.977028  98.031608  0.003693  0.011751
39301465  N701A  01-00-04   1881 2017-11-07 10:10:29  188507  187123  364.0  159.0   167.377698     73.112786   2.421796   0.457673  0.001658  0.001875
39301466  N701A  01-00-04   1882 2017-11-07 12:00:00  188550  187166   43.0   43.0    23.558058     23.558058   0.015323   0.006913  0.001805  0.001937
39301467  N701A  01-00-04   1883 2017-11-07 16:00:00  188694  187285  144.0  119.0    36.000000     29.750000   0.223509   0.063236  0.001792  0.001930
39301468  N701A  01-00-04   1884 2017-11-07 20:00:00  188837  187682  143.0  397.0    35.750000     99.250000   0.219326   0.695422  0.001792  0.001841



          area       scp  index                  dt        i        o  idiff  odiff      idiff_ph      odiff_ph        iz        oz     cumiz     cumoz
34455443  N507  00-03-01   5426 2017-03-26 20:00:00  2220679  2787517  125.0  122.0     31.250000     30.500000  0.020277  0.021670  0.001797  0.001929
34455444  N507  00-03-01   5427 2017-03-27 00:00:00  2220707  2787553   28.0   36.0      7.000000      9.000000  0.023652  0.023424  0.001822  0.001956
34455445  N507  00-03-01   5428 2017-03-27 04:00:00  2220711  2787558    4.0    5.0      1.000000      1.250000  0.024487  0.024057  0.001828  0.001966
34455446  N507  00-03-01   5429 2017-03-27 07:59:59  2220869  2787647  158.0   89.0     39.502743     22.251545  0.019129  0.022343  0.001788  0.001939
34455447  N507  00-03-01   5430 2017-03-27 08:00:00  2220872  2787650    3.0    3.0  10800.000000  10800.000000  1.478295  0.857251  0.009215  0.011751
34455448  N507  00-03-01   5431 2017-03-27 08:13:39  2220910  2787667   38.0   17.0    167.032967     74.725275  0.001382  0.018061  0.001658  0.001872
34455449  N507  00-03-01   5432 2017-03-27 12:00:00  2221462  2788140  552.0  473.0    146.322068    125.381047  0.004264  0.013926  0.001679  0.001808
34455450  N507  00-03-01   5433 2017-03-27 16:00:00  2221661  2788346  199.0  206.0     49.750000     51.500000  0.017703  0.019956  0.001778  0.001902
34455451  N507  00-03-01   5434 2017-03-27 20:00:00  2222231  2789182  570.0  836.0    142.500000    209.000000  0.004796  0.007102  0.001683  0.001702



           area       scp  index                  dt        i        o  idiff  odiff     idiff_ph   odiff_ph        iz        oz     cumiz     cumoz
